CUST_ID,BALANCE,PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS
1,40.900749,95.4,0,0.166667,2,1000,201.802084,139.509787
2,3202.467416,0,6442.945483,0,0,7000,4103.032597,1072.340217
3,2495.148862,773.17,0,1,12,7500,622.066742,627.284787
4,1666.670542,1499,205.788017,0.083333,1,7500,0,
5,817.714335,16,0,0.083333,1,1200,678.334763,244.791237
6,1809.828751,1333.28,0,0.666667,8,1800,1400.05777,2407.246035
7,627.260806,7091.01,0,1,64,13500,6354.314328,198.065894
8,1823.652743,436.2,0,1,12,2300,679.065082,532.03399
9,1014.926473,861.49,0,0.333333,5,7000,688.278568,311.963409
10,152.225975,1281.6,0,0.166667,3,11000,1164.770591,100.302262
11,1293.124939,920.12,0,1,12,1200,1083.301007,2172.697765
12,630.794744,1492.18,0,0.25,6,2000,705.618627,155.549069
13,1516.92862,3217.99,0,1,26,3000,608.263689,490.207013
14,921.693369,2137.93,0,0.75,26,7500,1655.891435,251.137986
15,2772.772734,0,346.81139,0,0,3000,805.647974,989.962866
16,6886.213231,1611.7,2301.491267,0.5,11,8000,1993.439277,2109.90649
17,2072.074354,0,2784.274703,0,0,3000,391.974562,376.579631
18,41.089489,519,0,0.416667,8,2500,254.590662,73.203221
19,1989.072228,504.35,0,0.666667,9,13000,1720.837373,744.613395
20,3577.970933,398.64,0,1,12,4000,1053.980464,12465.54938
21,2016.684686,176.68,0,0.666667,8,2000,223.0686,13557.29726
22,6369.531318,6359.95,229.028245,1,92,11250,2077.959051,1659.775075
23,132.34224,815.9,0,1,17,1800,2359.629958,86.329554
24,3800.151377,4248.35,7974.415626,1,13,9000,9479.043842,1425.426525
25,5368.571219,0,798.949863,0,0,6000,1422.726707,1657.002877
26,169.781679,399.6,0,1,12,3000,215.306142,163.005536
27,1615.96724,102,244.840485,0.166667,2,1700,890.178845,971.183209
28,125.694817,233.28,0,1,12,1000,207.773715,164.748819
29,7152.864372,387.05,2236.145259,0.666667,8,10500,1601.448347,1648.851345
30,22.06349,100,0,0.416667,5,6900,160.767773,159.684442
31,12136.21996,3038.01,3183.583301,1,64,13000,4230.323491,3292.01503
32,1162.273324,1347.71,175.815755,1,45,6000,645.998299,256.848991
33,6732.823064,324.95,1189.533753,0.083333,3,10500,1720.118876,2506.745366
34,125.660453,636.79,0,0.916667,11,1200,423.449696,196.301885
35,3517.101616,547.28,0,1,14,11000,8735.607835,17862.55831
36,1656.350781,0,99.264367,0,0,1800,351.500199,634.569311
37,7427.076941,0,8873.375046,0,0,9000,1636.361601,1986.843608
38,4047.480828,2380.55,1697.660901,0.75,41,5000,1617.894416,1541.141605
39,6269.418144,204,2925.699862,0.083333,2,9000,1237.111661,2049.408839
40,1411.60223,963.24,6173.682877,0.083333,6,7500,20071.07544,719.948985
41,663.44781,0,3133.063934,0,0,1800,3067.05783,283.333445
42,784.889762,1526.59,2188.419607,0.583333,27,3000,1262.309666,363.142736
43,4104.710798,203.82,0,0.083333,1,4500,868.275275,1801.264841
44,1360.742377,0,1481.587093,0,0,1500,378.294227,321.354137
45,5315.945594,1525.44,0,1,20,8500,1430.341501,1318.71492
46,2242.311686,437,184.648692,0.333333,5,2400,0,
47,474.447149,109.74,1013.659552,0.375,3,1700,176.013005,147.199792
48,3910.111237,0,1980.873201,0,0,4200,0,
49,229.867179,2390.6,0,1,87,3300,2543.953559,175.657825
50,863.809833,507.5,695.097159,0.166667,3,4000,587.866451,286.448719
51,4931.331857,901.42,8530.648614,0.625,9,12000,8113.297346,1012.415961
52,1078.888565,3107.85,0,0.666667,18,2500,1399.82834,1322.446601
53,1565.681099,0,321.359135,0,0,3500,691.825279,581.481917
54,464.674156,1979.22,1981.265503,0.666667,11,3000,3110.052742,132.446091
55,6.660517,310,0,0.666667,8,1000,417.016763,
56,1311.995984,1283.9,0,0.25,6,6000,0,
57,3625.218146,313.27,668.468743,0.25,4,4000,0,
58,2386.330629,5217.62,0,0.916667,42,7500,5678.729613,1311.514878
59,3971.138765,0,224.575517,0,0,4000,764.938728,1600.212243
60,5493.90406,229,970.591332,0.416667,6,6000,2110.557023,1895.02617
61,1879.114033,113,0,0.166667,2,6500,3509.686561,548.105836
62,1555.793701,66.2,0,0.083333,1,1600,338.083661,837.215674
63,809.582978,0,3819.672466,0,0,4150,4372.148648,241.645387
64,7.152356,840,0,0.083333,1,1600,0,
65,1923.886805,1887.64,1605.949371,1,61,1850,3688.045998,3266.996777
66,1758.059987,412.33,0,0.583333,11,1800,777.451648,897.905444
67,809.847455,0,908.423608,0,0,1500,146.074769,179.412493
68,1576.305029,0,382.908547,0,0,2500,540.022225,352.883804
69,3990.523579,263.5,0,0.666667,8,6000,6876.836205,1001.607366
70,1699.435486,1363.69,0,0.333333,4,1700,1623.816348,923.505868
71,5487.683724,419.1,625.399386,0.916667,11,6250,1288.214909,2180.881868
72,2990.422186,4523.27,27296.48576,0.666667,33,7000,28232.69446,1107.030803
73,656.01301,0,1474.349901,0,0,7000,910.457985,140.983193
74,1808.972419,713.9,0,0.5,8,2250,889.017418,622.757696
75,532.334517,791.94,0,0.272727,7,6000,1305.177304,175.510344
76,5860.433624,561.87,0,0.833333,14,6000,1990.044998,2161.428274
77,1727.638449,606.11,0,1,17,11000,2959.920544,623.656993
78,578.809679,320,0,0.75,8,1500,1438.910569,190.186542
79,1205.716678,0,38.325801,0,0,1200,29.278671,8242.687678
80,6593.820644,388.66,4621.93458,0.583333,7,7000,1624.583114,2503.40234
81,17.357563,244.85,0,0.666667,13,5000,357.802082,121.523416
82,81.584711,0,2985.300006,0,0,9500,116.569033,164.692136
83,3.78631,133.05,0,0.416667,5,12000,210.053432,99.533735
84,42.46443,396,0,0.5,12,1200,725.606194,140.809454
85,1935.362486,4915.6,293.844792,1,50,9000,4921.066897,594.756686
86,134.917202,1247.8,0,1,22,16500,1275.229436,171.357189
87,7069.950386,1603.78,5626.004046,1,23,11000,4589.873897,1876.262988
88,8181.251131,2258.01,5251.228934,1,60,13500,3021.575846,2074.581541
89,4037.305658,45,104.238064,0.083333,1,4500,1073.844885,968.941265
90,6110.265264,0,2717.253917,0,0,6500,1502.205631,2864.380327
91,9381.255094,5100.07,370.737197,1,46,9000,6409.496345,9827.045323
92,1977.00709,1032.04,4335.919227,0.909091,17,4000,3056.424974,910.707525
93,1321.47608,45.65,495.657934,0.083333,1,1800,440.840439,312.560636
94,1307.717841,405.6,0,0.166667,2,2400,0,
95,2329.485768,213.34,0,0.25,3,2400,0,
96,1139.782882,0,120.612912,0,0,1200,151.823651,2906.110765
97,1619.955708,739.44,0,0.666667,11,6000,417.128532,389.138517
98,3505.671311,0,1713.984305,0,0,4000,0,
99,4.708041,79,0,0.25,3,7000,217.820198,121.781205
100,0,0,89.849004,0,0,3000,138.021428,
101,4.875885,20,0,0.111111,1,1500,26.487919,60.913577
102,23.394411,1346.28,0,1,12,2000,712.149153,54.79166
103,3539.801912,2823.8,0,0.916667,75,5700,9172.788366,2103.796148
104,0.62424,389.96,0,1,31,4500,0,
105,862.07238,0,920.309805,0,0,4000,2236.890255,214.828158
106,2441.542991,808,959.857263,0.25,4,4000,532.741699,1026.976
107,408.656365,941.64,0,1,12,2500,1097.78942,176.610605
108,4986.400804,0,5439.467563,0,0,8000,1241.538024,1439.230899
109,1246.624558,423.7,412.399058,0.666667,10,2000,577.050373,498.365419
110,6644.201651,4478.75,7205.520805,1,64,9000,10857.94321,2469.571326
111,156.216753,1354.86,0,0.916667,34,5500,858.976682,108.319927
112,3393.351236,0,1008.348672,0,0,4200,0,
113,5322.994094,2812.2,2510.352951,1,81,8500,1509.423237,1834.031569
114,6458.56209,0,3360.228794,0,0,7000,1277.76778,2760.115734
115,175.341651,1508.9,0,0.666667,14,5000,1884.227778,136.639824
116,680.195157,1045.57,0,1,25,3000,552.432305,207.720441
117,223.763616,2309.78,0,0.583333,12,6500,1206.81188,99.372848
118,1785.626943,0,576.206382,0,0,1800,687.691735,2439.136113
119,54.933231,495,0,0.166667,2,7000,1969.845566,147.049952
120,2662.629852,0,509.023801,0,0,3000,932.418855,709.207016
121,8504.876253,6724.26,1686.599777,1,85,17000,1888.756861,2167.446204
122,1464.324632,1174.39,0,0.25,8,9000,0,
123,2114.158683,5580.85,0,1,75,8500,3564.977774,630.00413
124,2876.396444,0,998.84867,0,0,3200,1065.426905,1412.648089
125,14224.11541,0,4614.427403,0,0,19000,3066.614272,3406.258999
126,2392.917738,12462.44,0,0.916667,217,2800,11628.71557,2000.990921
127,57.453201,0,272.713302,0,0,1200,385.853874,84.697292
128,4245.855092,1957.3,0,0.833333,19,5000,1004.35474,1086.428906
129,11167.23403,150.64,8362.154254,0.083333,1,17000,2606.059389,2894.077159
130,69.405545,0,2799.714934,0,0,13000,0,
131,116.654149,907,273.558033,0.25,8,5000,0,
132,4637.848144,1271.12,0,0.833333,33,5000,1906.032044,3572.279251
133,24.28497,250.6,0,0.583333,7,3000,319.762903,173.632006
134,9354.06045,796.33,13748.47131,0.083333,1,13000,10664.65866,2600.875721
135,231.108995,440,0,0.916667,22,4000,554.116542,185.091037
136,1562.633343,1330.62,0,0.5,8,2000,1020.783647,709.610053
137,2494.868559,5491.79,0,1,52,17000,1015.311953,615.92402
138,706.132889,897.86,586.268966,0.916667,18,1200,972.358048,184.524376
139,19043.13856,22009.92,0,1,216,18000,23018.57583,18621.01331
140,2235.103331,720.6,723.308724,1,12,2500,1061.292471,689.118919
141,947.13081,197.06,0,0.333333,5,1000,492.200419,509.384182
142,764.042156,0,1307.102516,0,0,7500,1566.806897,172.959728
143,5347.814547,0,4002.353384,0,0,7000,0,
144,10598.46777,2084.48,0,0.666667,13,21500,3219.621433,3068.125648
145,2163.678757,5779.36,0,1,97,6500,4416.41268,546.439139
146,3057.400553,1025,0,0.083333,2,7500,698.854095,819.682666
147,19.354559,689.7,0,0.833333,10,10000,746.691026,
148,264.811595,28.65,384.26178,0.083333,1,9000,1235.630069,194.324456
149,1108.22253,944.96,0,0.5,9,1500,1955.198953,992.652486
150,906.573724,1039.2,103.102091,0.833333,11,13500,1855.235407,468.196732
151,7679.62904,4059.93,555.469352,0.583333,14,7000,3685.61062,12854.9397
152,1523.911458,4075.37,0,1,31,6500,2254.26002,329.29648
153,49.206256,870.24,0,1,24,8000,835.839952,193.011166
154,13673.07961,9792.23,2444.445738,1,216,20000,11717.30794,6042.391629
155,106.455975,2463.12,0,1,46,4000,2573.722764,95.342224
156,119.760904,1859.34,0,0.333333,4,20000,3104.275623,288.903628
157,5837.105453,3488.49,3303.1523,1,46,7900,0,
158,1734.510004,0,66.275851,0,0,1800,363.474455,2827.997525
159,2765.748281,7283.31,0,1,77,11000,14373.3929,1058.128452
160,1046.37041,295,93.579809,0.083333,2,1200,439.407082,362.838185
161,2737.367678,0,429.691164,0,0,3000,778.827993,721.798576
162,4014.818167,0,988.356213,0,0,8500,1009.185035,1177.149934
163,871.568977,648.22,0,1,27,1200,1110.886425,208.298424
164,1610.040203,557.19,0,0.25,5,4000,422.711848,616.005839
165,114.593817,469.98,0,1,6,1000,367.109312,86.102479
166,5800.587339,0,369.950794,0,0,6500,1346.365584,1972.526015
167,823.103926,131.64,0,1,12,8000,2916.071564,243.199498
168,595.677343,5078.14,1424.442602,0.916667,42,15000,4756.654374,241.894073
169,1128.124563,924.6,0,1,12,1000,1202.711782,1747.037345
170,349.441102,1975.4,0,0.666667,17,4000,1795.012223,167.219681
171,840.804076,0,3671.777443,0,0,4000,3621.266477,193.171404
172,975.942008,10221.35,1620.685551,1,130,10500,10693.49585,347.641073
173,23.111088,300,0,0.25,3,12500,291.948834,43.452683
174,2187.732265,0,3905.326256,0,0,3000,1423.788603,461.365626
175,11972.01104,5715,1626.351366,1,90,14000,4639.513745,3192.306018
176,1608.451822,0,205.737165,0,0,1800,470.565984,408.799147
177,1872.926275,766.61,1017.120578,0.833333,12,2300,0,
178,2933.240476,0,2040.433925,0,0,3000,2431.578544,1739.74883
179,336.799916,3535.8,0,1,44,20000,2814.231227,186.230835
180,36.236312,256.11,0,0.416667,5,5300,831.375322,189.036967
181,903.29781,2697.48,0,1,39,2500,1686.196344,303.361632
182,0,23,0,0.083333,1,5000,0,
183,2881.253586,117,17661.49486,0.25,3,4500,17301.83238,931.618475
184,5.465999,196.81,0,0.083333,3,12000,0,
185,117.442684,653.73,0,0.666667,15,10000,441.588141,136.827952
186,168.522709,2009.05,0,0.833333,22,1200,2612.760497,197.638558
187,1706.014379,147.78,1657.090283,0.166667,2,6000,1186.062765,374.595505
188,874.583247,516.54,0,1,30,900,579.749308,693.894717
189,861.001207,969.56,446.233197,0.416667,6,2400,0,
190,966.251742,311.45,955.959749,0.333333,15,1500,277.522439,286.299328
191,38.615644,280.4,0,0.25,3,6150,254.392984,55.79974
192,189.687964,66.14,0,0.083333,2,6000,0,
193,40.417255,79.2,1631.576375,0.083333,1,4000,1647.880773,24.815878
194,5462.897068,1453.32,0,0.5,18,16500,1382.269127,1755.253802
195,3983.923705,756.54,0,0.5,15,4000,1110.870941,1431.201171
196,5588.846272,3507.35,0,0.916667,34,11500,1412.597253,1825.176503
197,281.170378,3163.69,0,0.75,36,8000,2422.911622,187.046284
198,130.251538,1343.19,0,1,33,15000,1043.55929,182.429461
199,1973.814964,873,0,0.166667,5,8000,541.722532,762.682834
200,5698.539876,47.55,2039.52804,0.166667,2,6000,2976.579866,3463.174962
201,43.103899,370,0,0.166667,2,23000,1212.054219,68.725483
202,566.546048,405.75,1044.651618,0.5,12,2000,1249.835142,313.052687
203,24.527253,261.64,0,0.833333,10,4000,376.758504,169.78292
204,8350.145568,1989.28,893.757903,0.333333,8,14000,4720.900413,2557.044576
205,4559.779234,10848.5,0,1,123,7500,9423.715495,2925.275522
206,2.67713,43.39,0,0.083333,1,4000,130.107234,29.700051
207,1570.682346,645.32,1665.331678,0.166667,2,1800,2591.391006,808.217224
208,7201.736985,987.1,5468.620604,0.333333,9,10500,1941.541158,2391.987571
209,6467.885013,1464.14,3947.86784,0.833333,23,11500,1658.563509,1887.413517
210,64.080909,927,0,0.25,4,5000,1260.16384,59.04439
211,5635.860679,393.62,5933.467329,0.916667,15,10000,1919.630466,1731.549385
212,3670.50596,965.5,0,0.5,9,7500,1034.932404,941.496383
213,2458.376257,0,102.275984,0,0,7500,4543.63481,647.20869
214,768.004936,336.41,0,0.75,9,6000,947.696134,217.027653
215,75.647479,540,0,0.25,3,4000,548.967281,48.659935
216,2.433254,36,0,0.166667,2,7500,0,
217,1121.730896,878.52,197.648111,1,39,1500,542.836917,471.496776
218,7.56809,144.26,0,0.333333,7,11500,134.710832,75.515008
219,2053.441598,493.85,1738.33378,0.5,10,2000,2795.059574,2661.324808
220,2422.311938,4490.69,188.783221,1,52,8500,5763.666926,582.589765
221,9047.621884,11188.62,0,1,151,10000,11994.41815,8517.258683
222,3061.213971,1829.2,0,1,17,7000,971.234118,985.954762
223,41.642389,75.99,0,0.142857,1,2700,69.163384,99.401747
224,5431.622968,1824.16,0,1,23,14500,1508.016452,1370.519926
225,6571.484039,9325.22,0,0.333333,5,8500,11036.72668,1824.680131
226,28.461629,100,0,0.083333,1,4000,125.769169,104.857518
227,4178.625215,1431.89,0,1,39,4000,2384.542045,3868.70983
228,3019.019487,2260.41,0,0.833333,25,8500,2187.930651,739.224894
229,1.045584,0,466.643895,0,0,1200,1068.581252,25.537
230,2723.369217,10410.49,0,0.75,41,19500,9695.650901,726.696049
231,1070.999446,990.7,0,0.75,13,1400,505.317328,438.324017
232,279.608696,3034.92,0,1,12,2900,2928.909865,2733.317012
233,1255.901821,1038.81,1092.634704,0.916667,21,5700,1215.454299,422.331098
234,2229.857287,45.65,0,0.083333,1,2500,542.7463,628.211031
235,2363.489077,2641.98,263.884743,0.833333,41,3000,1839.928884,1075.456585
236,4014.388265,1189.52,0,1,12,8000,0,
237,7623.224897,300,2800.728343,0.5,6,12000,1975.974183,1774.584333
238,3421.571922,126.69,154.341344,0.333333,5,10500,2515.435738,975.504012
239,48.898611,247.09,182.357669,0.5,7,5500,409.594792,69.921472
240,1874.716289,301.1,0,0.583333,10,1950,586.974046,1089.040271
241,3215.511032,1112.2,7616.064965,0.25,4,7200,0,
242,237.235398,2410.07,0,0.5,15,4000,3773.727455,169.879335
243,1272.927288,5350.19,0,1,101,8000,5825.602115,318.305326
244,558.476701,630.03,0,0.090909,1,5500,426.092563,213.369694
245,2814.207626,3197.24,0,1,49,3000,3574.480603,1328.897516
246,8.061012,133,0,0.25,3,3000,130.61272,41.436595
247,435.862142,1646.16,0,1,33,12000,1055.835407,236.619362
248,6.390383,79.66,0,1,12,1500,75.896288,75.967742
249,9612.21512,319.92,13439.5704,1,12,12000,10993.89211,2501.560923
250,7938.559134,3677.52,0,1,98,12500,2657.856602,1912.298544
251,2344.478291,1041.63,4003.968939,0.25,14,4000,3033.665478,716.70488
252,996.48222,675.96,0,1,12,1000,1851.602411,1382.292833
253,19.508047,193.14,0,0.416667,5,2000,220.46377,71.965063
254,185.640313,1703.23,0,1,13,11500,1449.039414,183.298253
255,5335.302925,0,468.958688,0,0,6000,1350.318606,1249.937085
256,22.189283,234.16,0,0.363636,4,1500,479.910499,149.977816
257,5.871769,29.68,0,0.083333,1,10000,76.943584,75.595199
258,1049.496471,1322.67,774.260436,0.833333,28,11000,802.38543,229.655091
259,5570.190127,1607.88,0,1,84,13500,1583.411686,2216.638394
260,1668.591831,0,1716.941235,0,0,1800,2166.981163,568.063083
261,2224.590946,3183,0,0.166667,2,9000,3823.346244,629.080506
262,2903.781184,3014.23,103.610197,1,93,4500,1350.370286,655.633916
263,2041.480046,7323.38,191.331735,1,81,3000,3792.095079,1737.893866
264,7755.698607,8533.54,7540.30735,1,72,10000,4758.209146,7256.951816
265,614.263149,408.93,0,0.5,10,9000,2161.153147,312.343947
266,8097.334733,3999.92,0,1,14,7500,5624.074339,9952.672511
267,1082.33027,2980.46,0,1,50,6000,1116.967993,289.439818
268,2734.66412,560.73,0,0.916667,11,7500,717.798364,670.049653
269,80.708806,569.9,0,0.166667,3,9500,634.000055,92.012927
270,2554.525229,6186.77,1898.690655,0.916667,38,10950,11198.92613,608.36886
271,535.947221,4550.81,438.469118,1,99,8500,4317.191232,208.73456
272,3905.365959,150.8,1659.19931,0.166667,2,7500,990.524408,989.783286
273,156.278339,1385.1,0,1,21,14000,1280.473571,193.369942
274,5131.319584,32539.78,0,1,98,11500,26652.34432,1971.129435
275,5265.763713,410.24,15452.97758,0.916667,21,16500,12005.3074,1055.547896
276,2.564117,47.95,0,0.083333,1,1500,294.507498,86.245988
277,1873.084577,126.57,181.139378,0.25,4,2100,483.557464,524.426392
278,32.124999,380.89,0,0.083333,1,5700,0,
279,1473.495809,414,0,0.75,9,10500,5863.94034,570.250342
280,1504.82705,2010,1189.292764,1,14,8500,859.829946,479.831475
281,7645.108427,4693.15,0,0.5,12,13500,4786.64868,1741.158024
282,1129.33758,498.96,72.259355,1,12,1000,829.505486,1623.389428
283,668.956687,224.2,0,0.583333,9,9500,568.336995,272.270427
284,2302.184366,2856.57,0,1,62,2500,2914.419813,2173.680619
285,272.711518,0,682.156051,0,0,3000,2755.877257,144.621645
286,4246.430225,0,9270.408108,0,0,7000,6010.525656,1793.262654
287,2420.761135,0,567.233798,0,0,3000,871.713321,609.206784
288,2935.324966,409.63,1876.241162,0.583333,12,5000,580.13865,1114.588285
289,83.148283,843.34,0,0.5,17,6500,1024.267592,122.850835
